customer_search_term,impressions,clicks,spend,14_day_total_sales,14_day_total_orders,match_type,date,campaign_name,ad_group_name
1 year baby mattress,2,1,4.9,0,0,PHRASE,2026-05-01,SPKT | Mattress | Baby Mattress | Generic | Exact,Exact
1' thick mattresses,2,1,27.08,0,0,PHRASE,2026-04-30,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
1.5 inch mattress,7,1,16.85,0,0,PHRASE,2026-04-27,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
1.5 inch memory foam pillow,3,1,20.04,0,0,BROAD,2026-04-19,SPKT | PILLOW | Contour Ortho | Generic | BMM,Ad group - 27/12/2024 17:10:49.867
1.5 inch memory foam pillow,4,1,24.73,0,0,BROAD,2026-04-24,SPKT | PILLOW | Contour Ortho | Generic | BMM,Ad group - 27/12/2024 17:10:49.867
1.5 inch pillow,12,1,25.09,0,0,PHRASE,2026-04-13,SPKT | PILLOW | Cloud | Generic | Phrase,Phrase
1.5 inch pillow,33,1,12.19,0,0,PHRASE,2026-04-19,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1.5 inch pillow,53,1,13.41,0,0,PHRASE,2026-04-24,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1.5 inch pillow,55,1,12.2,0,0,PHRASE,2026-04-25,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1.5 inch pillow,48,1,24.74,0,0,PHRASE,2026-04-27,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1.5 inch pillow,1,1,11.58,0,0,TARGETING_EXPRESSION,2026-04-13,SPCT | Pillow | Microfiber Slim | Category,SPCT | Pillow | Microfiber Slim | Category
1.5 inch pillow firm,1,1,9.98,0,0,PHRASE,2026-04-15,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1.5 inch pillow for neck pain,2,1,23.49,0,0,BROAD,2026-04-24,SPKT | PILLOW | Contour Ortho | Generic | BMM,Ad group - 27/12/2024 17:10:49.867
1.5 inch pillow sleepycat,4,1,14.19,0,0,PHRASE,2026-04-18,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1.5 inches memory foam pillow,3,1,11.84,0,0,PHRASE,2026-04-13,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1/2 inch socket set,49,1,8.09,0,0,TARGETING_EXPRESSION_PREDEFINED,2026-04-18,SP | BEDDING | Pillow Cases| Auto,Ad group - 27/12/2024 16:34:36.214
1/2 inch socket set,67,1,7.19,0,0,TARGETING_EXPRESSION_PREDEFINED,2026-04-19,SP | BEDDING | Pillow Cases| Auto,Ad group - 27/12/2024 16:34:36.214
10 by 30 pillow cover,3,2,19.59,0,0,PHRASE,2026-04-21,SPKT | BEDDING | Pillow Cases | Generic | Phrase,SPKT | BEDDING | Pillow Cases | Generic | Phrase
10 height mattress,5,1,24.42,0,0,PHRASE,2026-04-26,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 height mattress,1,1,40.84,0,0,PHRASE,2026-04-29,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch 72 x 60 latex mattress,2,1,29.5,0,0,PHRASE,2026-04-16,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
10 inch bed mattress,3,1,34.7,0,0,PHRASE,2026-04-16,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch bed mattress,3,1,41.67,0,0,PHRASE,2026-05-01,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch firm mattress,6,1,36.47,0,0,PHRASE,2026-04-23,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch firm mattress,15,1,36.44,0,0,PHRASE,2026-04-28,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch hybrid mattress,1,1,16.12,0,0,PHRASE,2026-04-29,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch king mattress medium firm,3,1,16.88,0,0,PHRASE,2026-04-24,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inch king size mattress,3,1,11.58,0,0,PHRASE,2026-04-20,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,King
10 inch king size mattress,6,1,10.62,0,0,PHRASE,2026-04-29,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,King
10 inch king size mattress,4,1,24.93,0,0,TARGETING_EXPRESSION,2026-04-15,SPCT | MATTRESS | Latex | Competition,Competition
10 inch king size mattress,2,1,27.25,0,0,TARGETING_EXPRESSION,2026-05-02,SPCT | MATTRESS | Latex | Competition,Competition
10 inch king size mattress,32,5,115.4,0,0,TARGETING_EXPRESSION,2026-04-13,SPPT | Mattress | Original | Brand Protection,SPPT | Mattress | Original | Brand Protection
10 inch king size mattress,23,3,86.31,0,0,TARGETING_EXPRESSION,2026-04-14,SPPT | Mattress | Original | Brand Protection,SPPT | Mattress | Original | Brand Protection
10 inch king size mattress,2,1,8.97,0,0,TARGETING_EXPRESSION,2026-04-25,SPPT | Mattress | Original | Competition,Original
10 inch latex mattress,2,1,24.14,0,0,PHRASE,2026-04-15,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
10 inch latex mattress king size,11,1,33.72,0,0,PHRASE,2026-04-19,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
10 inch latex mattress king size,13,1,34.4,0,0,PHRASE,2026-04-21,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
10 inch latex mattress king size,69,5,176.49,0,0,PHRASE,2026-05-02,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
10 inch mattress,5,1,24.93,0,0,TARGETING_EXPRESSION,2026-04-15,SPCT | MATTRESS | Latex | Competition,Competition
10 inch mattress,29,2,56.98,0,0,TARGETING_EXPRESSION,2026-04-14,SPPT | Mattress | Original | Brand Protection,SPPT | Mattress | Original | Brand Protection
10 inch mattress,49,2,60.92,0,0,TARGETING_EXPRESSION,2026-04-24,SPPT | Mattress | Original | Brand Protection,SPPT | Mattress | Original | Brand Protection
10 inch mattress,31,1,12.76,0,0,TARGETING_EXPRESSION,2026-04-16,SPPT | Mattress | Original | Competition,Original
10 inch mattress,1,1,10.04,0,0,TARGETING_EXPRESSION,2026-05-01,SPPT | Mattress | Original | Competition,Original
10 inch mattress,25,2,30.87,0,0,TARGETING_EXPRESSION,2026-04-23,SPPT | Mattress | Original | Competition,Original
10 inch mattress,4,1,13.57,0,0,TARGETING_EXPRESSION,2026-04-21,SPPT | Mattress | Original | Competition,Original
10 inch mattress 6 6,2,1,15.49,0,0,PHRASE,2026-04-29,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inch mattress bed sheet,1,1,11.38,0,0,TARGETING_EXPRESSION_PREDEFINED,2026-04-28,SPKT | BEDDING | Cotton Fitted Bedsheet | Auto,Ad group - 9/1/2025 17:52:14.000
10 inch mattress fitted bedsheet,5,1,17.89,0,0,TARGETING_EXPRESSION,2026-05-02,SPKT | BEDDING | BEDSHEET | GENERIC | EXACT {},SPKT | BEDDING | BEDSHEET | GENERIC | EXACT {}
10 inch mattress king size,6,1,15.64,0,0,TARGETING_EXPRESSION,2026-04-23,SPPT | Mattress | Latex | Competition,LATEX
10 inch mattress king size,7,1,8.76,0,0,TARGETING_EXPRESSION,2026-04-15,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size,1,1,7.02,0,0,TARGETING_EXPRESSION,2026-04-27,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size,52,1,28.63,0,0,TARGETING_EXPRESSION,2026-04-12,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size,32,2,52.96,0,0,TARGETING_EXPRESSION,2026-04-13,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size,33,2,44.65,0,0,TARGETING_EXPRESSION,2026-04-14,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size,19,1,31.75,0,0,TARGETING_EXPRESSION,2026-04-18,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size,31,1,20.74,0,0,TARGETING_EXPRESSION,2026-04-19,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size,30,1,23.32,0,0,TARGETING_EXPRESSION,2026-04-21,SPPT | Mattress | Original | Competition,Original
10 inch mattress king size 72x72 memory foam,2,1,19.08,0,0,PHRASE,2026-04-12,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inch mattress king size spllycat,3,1,20.08,0,0,PHRASE,2026-04-19,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inch mattress king top selling,2,1,20.04,0,0,PHRASE,2026-05-02,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inch mattress price,1,1,34.7,0,0,PHRASE,2026-04-15,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch mattress queen size,1,1,27.25,0,0,TARGETING_EXPRESSION,2026-05-02,SPCT | MATTRESS | Latex | Competition,Competition
10 inch mattress queen size,68,2,53.85,0,0,EXACT,2026-04-12,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,21,1,21.54,0,0,EXACT,2026-04-13,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,44,2,44.75,0,0,EXACT,2026-04-16,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
